Class,Label,Latitude,Longitude,B02,B03,B04,B08,NDVI,EVI,SAVI,NDWI
Forests and semi-natural areas,3,4951165.0,697605.0,361,575,362,1272,-0.22732123799359658,-0.4816824966078697,-0.3408,-0.37736870600974554
Forests and semi-natural areas,3,4951165.0,697615.0,388,575,373,1272,-0.21308016877637131,-0.5525164113785558,-0.31945176594623087,-0.37736870600974554
Forests and semi-natural areas,3,4951165.0,697625.0,456,743,440,1733,-0.25612848689771767,-0.5121703853955375,-0.3840304182509506,-0.3998384491114701
Forests and semi-natural areas,3,4951165.0,697635.0,511,743,500,1733,-0.19549477071600965,-0.5392809587217043,-0.293124246079614,-0.3998384491114701
Forests and semi-natural areas,3,4951165.0,697645.0,512,937,442,2295,-0.3589557650471356,-0.5561797752808989,-0.5382384922073215,-0.42017326732673266
Agricultural Areas,2,4951155.0,697335.0,929,1085,1051,2663,-0.015917602996254682,-0.14297729184188393,-0.023870816756377252,-0.4210245464247599
Agricultural Areas,2,4951155.0,697345.0,1083,964,1075,2485,0.05443845022069642,-0.2198019801980198,0.08163765628830595,-0.4409973905479849
Agricultural Areas,2,4951155.0,697355.0,569,964,683,2485,-0.1706132361870067,-0.31924562599409223,-0.2558421851289833,-0.4409973905479849
Agricultural Areas,2,4951155.0,697365.0,559,906,495,2354,-0.29336188436830835,-0.5906869790169589,-0.43988583660363895,-0.4441717791411043
Agricultural Areas,2,4951155.0,697375.0,510,906,655,2354,-0.16079436258808455,-0.2767975297750331,-0.24111431316042267,-0.4441717791411043
Agricultural Areas,2,4951155.0,697385.0,459,715,558,1764,-0.12333071484681854,-0.27906150017774617,-0.18492343934040048,-0.42315449778136344
Agricultural Areas,2,4951155.0,697395.0,502,715,492,1764,-0.18475559237779618,-0.5476424361493124,-0.27701863354037265,-0.42315449778136344
Agricultural Areas,2,4951155.0,697405.0,530,802,477,1793,-0.2541047693510555,-0.6178707224334601,-0.3810082063305979,-0.38188824662813103
Urban Areas,1,4951155.0,697415.0,719,802,671,1793,-0.08893414799728445,-3.579234972677596,-0.1333559552086868,-0.38188824662813103
Urban Areas,1,4951155.0,697425.0,592,923,738,2727,-0.11137868753762793,-0.2517691888949374,-0.16701775504062594,-0.49424657534246574
Agricultural Areas,2,4951155.0,697435.0,469,923,606,2727,-0.20732504905166776,-0.3016175071360609,-0.31088591042824454,-0.49424657534246574
Agricultural Areas,2,4951155.0,697445.0,415,1021,593,3205,-0.265179677819083,-0.2966042966042966,-0.3976463301331682,-0.5168007572172267
Agricultural Areas,2,4951155.0,697455.0,394,1021,492,3205,-0.34963648380700596,-0.3609443231441048,-0.5242814667988107,-0.5168007572172267
Agricultural Areas,2,4951155.0,697465.0,448,1060,488,3180,-0.3695090439276486,-0.40985955861278306,-0.5540845979980626,-0.5
Agricultural Areas,2,4951155.0,697475.0,509,1060,555,3180,-0.3126934984520124,-0.40745522026787157,-0.4688950789229341,-0.5
Agricultural Areas,2,4951155.0,697485.0,467,1015,576,3306,-0.27592708988057824,-0.34681624269236844,-0.413760603204524,-0.5302013422818792
Agricultural Areas,2,4951155.0,697495.0,407,1015,539,3306,-0.3063063063063063,-0.3326345213137666,-0.45931167577999354,-0.5302013422818792
Agricultural Areas,2,4951155.0,697505.0,438,833,507,2520,-0.24328358208955222,-0.3669518235029266,-0.3647892577396494,-0.5031315240083507
Agricultural Areas,2,4951155.0,697515.0,489,833,416,2520,-0.33386709367493994,-0.5965665236051502,-0.5006002400960384,-0.5031315240083507
Forests and semi-natural areas,3,4951155.0,697525.0,605,1000,540,2324,-0.2987012987012987,-0.5739955078612429,-0.44790652385589097,-0.3983152827918171
Forests and semi-natural areas,3,4951155.0,697535.0,685,1000,624,2324,-0.2315270935960591,-0.6319327731092437,-0.3471837488457987,-0.3983152827918171
Forests and semi-natural areas,3,4951155.0,697545.0,598,862,551,2178,-0.22009907997169142,-0.6275221953188055,-0.3300318358684117,-0.4328947368421053
Forests and semi-natural areas,3,4951155.0,697555.0,484,862,494,2178,-0.2713864306784661,-0.45164457535591557,-0.4069295982307409,-0.4328947368421053
Forests and semi-natural areas,3,4951155.0,697565.0,422,652,455,1694,-0.17795844625112917,-0.4093931837073982,-0.2668171557562077,-0.4441602728047741
Forests and semi-natural areas,3,4951155.0,697575.0,406,652,394,1694,-0.24665391969407266,-0.5110935023771791,-0.36980410893454374,-0.4441602728047741
Forests and semi-natural areas,3,4951155.0,697585.0,406,658,403,1600,-0.2403393025447691,-0.48775822494261667,-0.3603391427225624,-0.4171833480956599
Forests and semi-natural areas,3,4951155.0,697595.0,397,658,352,1600,-0.30297029702970296,-0.5780128447298829,-0.45423057892132607,-0.4171833480956599
Forests and semi-natural areas,3,4951155.0,697605.0,404,633,359,1576,-0.2762096774193548,-0.6072695035460993,-0.4141057934508816,-0.4268899954730647
Forests and semi-natural areas,3,4951155.0,697615.0,408,633,361,1576,-0.27364185110663986,-0.6181818181818182,-0.41025641025641024,-0.4268899954730647
Forests and semi-natural areas,3,4951155.0,697625.0,452,722,386,1745,-0.30324909747292417,-0.6320541760722348,-0.4546684709066306,-0.4146736927442238
Forests and semi-natural areas,3,4951155.0,697635.0,475,722,411,1745,-0.2744924977934687,-0.6580617858654253,-0.41155712395235994,-0.4146736927442238
